county_id,control_id,"control_name",control_rgs_id
33,1," Bellevue",1
33,2," Seattle",1
33,3," Auburn",2
33,4," Bothell",2
33,5," Burien",2
33,6," Federal Way",2
33,7," Issaquah",2
33,8," Kent",2
33,9," Kirkland",2
33,10," Redmond",2
33,11," Renton",2
33,12," SeaTac",2
33,13," Tukwila",2
33,14," Des Moines",3
33,15," Federal Way PAA",3
33,16," Kenmore",3
33,17," Lake Forest Park",3
33,18," Mercer Island",3
33,19," Newcastle",3
33,20," North Highline",3
33,22," Renton PAA - East Renton",3
33,23," Renton PAA - Fairwood",3
33,24," Renton PAA - West Hill",3
33,25," Shoreline",3
33,26," Woodinville",3
33,27," Algona",4
33,28," Beaux Arts",4
33,29," Black Diamond",4
33,30," Carnation",4
33,202," Carnation UGA",5
33,31," Clyde Hill",4
33,32," Covington",4
33,203," Covington PAA",5
33,33," Duvall",4
33,204," Duvall UGA",5
33,34," Enumclaw",4
33,205," Enumclaw UGA",5
33,35," Hunts Point",4
33,36," Maple Valley",4
33,37," Medina",4
33,38," Milton",4
33,39," Normandy Park",4
33,40," North Bend",4
33,207," North Bend UGA",5
33,41," Pacific",4
33,42," Sammamish",4
33,43," Skykomish",4
33,44," Snoqualmie",4
33,208," Snoqualmie UGA",5
33,45," Yarrow Point",4
33,46," Auburn PAA",5
33,48," Bellevue PAA",5
33,49," Black Diamond PAA",5
33,51," Issaquah PAA",5
33,52," Kent PAA",5
33,53," King UGA",5
33,57," Newcastle PAA",5
33,58," Pacific PAA",5
33,60," Redmond PAA",5
33,61," Sammamish PAA",5
33,201," King no growth UGA Bear Creek UPD",5
33,206," King no growth UGA Milton PAA",5
33,209," King no growth UGA Tukwila PAA",5
33,64," King Rural",6
33,301," King Rural Ag & Resource",7
35,65," Bremerton",1
35,401," NBK - Bremerton",8
35,67," Bremerton UGA",1
35,68," Silverdale",2
35,69," Bainbridge Island",3
35,70," Kingston UGA",3
35,71," Port Orchard",3
35,72," Port Orchard UGA",3
35,73," Poulsbo",3
35,74," Poulsbo PUTA",3
35,75," Central Kitsap UGA",5
35,76," Kitsap Rural",6
35,302," Kitsap Rural Ag & Resource",7
35,402," NBK - Bangor",8
53,77," Tacoma",1
53,78," Auburn",2
53,79," Lakewood",2
53,80," Puyallup",2
53,81," University Place",2
53,82," DuPont",3
53,83," Fife",3
53,84," Fircrest",3
53,85," Mid-County Parkland-Spanaway-Midland South Hill",3
53,86," Sumner",3
53,87," Bonney Lake",4
53,88," Buckley",4
53,89," Carbonado",4
53,90," Eatonville",4
53,91," Edgewood",4
53,92," Gig Harbor",4
53,93," Milton",4
53,94," Orting",4
53,95," Pacific",4
53,96," Roy",4
53,97," Ruston",4
53,98," South Prairie",4
53,99," Steilacoom",4
53,100," Wilkeson",4
53,107," Pierce UGA",5
61,210," Tulalip Tribe",6
53,124," Pierce Rural",6
53,303," Pierce Rural Ag & Resource",7
61,125," Everett",1
61,404," Naval Station Everett",8
61,126," Bothell",2
61,127," Lynnwood",2
61,128," Arlington",3
61,129," Bothell MUGA",3
61,130," Edmonds",3
61,131," Edmonds MUGA",3
61,132," Everett MUGA",3
61,133," Larch Way Overlap",3
61,135," Lynnwood MUGA",3
61,136," Marysville",3
53,403," JBLM",8
61,138," Mill Creek",3
61,139," Mill Creek MUGA",3
61,140," Mountlake Terrace",3
61,141," Mukilteo",3
61,142," Mukilteo MUGA",3
61,143," Brier",4
61,144," Darrington",4
61,145," Gold Bar",4
61,146," Granite Falls",4
61,147," Index",4
61,148," Lake Stevens",4
61,149," Monroe",4
61,150," Snohomish",4
61,151," Stanwood",4
61,152," Sultan",4
61,153," Woodway",4
61,155," Arlington UGA",5
61,156," Brier MUGA",5
61,157," Darrington UGA",5
61,158," Gold Bar UGA",5
61,159," Granite Falls UGA",5
61,161," Lake Stevens UGA",5
61,162," Lake Stickney Gap",5
61,163," Maltby UGA",5
61,164," Marysville UGA",5
61,166," Monroe UGA",5
61,167," Mountlake Terrace MUGA",5
61,168," Paine Field Area",5
61,169," Silver Firs Gap",5
61,170," Snohomish UGA",5
61,172," Stanwood UGA",5
61,174," Sultan UGA",5
61,175," Woodway MUGA",5
61,176," Snohomish Rural",6
61,304," Snohomish Rural Ag & Resource",7
